JobNum,PartNum, Price 
ASM467597,"0022-03764, Rev 09",466.90
ASM463621,"0022-03764, Rev 09",1167.25
ASM462877,"0022-03764, Rev 09",2334.50
ASM464632,"0022-03764, Rev 09",2334.50
ASM467032,"0022-03764, Rev 09",778.17
ASM452883,"0022-03764, Rev 09",1167.25
ASM463671,"0022-03764, Rev 09",583.62
ASM467598,"0022-03764, Rev 09",466.90
ASM467599,"0022-03764, Rev 09",466.90
ASM467600,"0022-03764, Rev 09",466.90
SCI463316,"0041-45065, Rev 01",231.29
465151,"0041-28496, Rev 05",760.40
467860,"0041-28496, Rev 05",1425.75
RMA11868,"0041-94880, Rev 02",757.30
SCI465558,"0041-94880, Rev 02",946.63
ASM462033,"0010-64863, Rev 03",2764.31
SCI461672,"0041-36136, Rev 04",726.69
SCI464648,"0041-36136, Rev 04",1090.04
SCI461673,"0041-36136, Rev 04",726.69
SCI464649,"0041-36136, Rev 04",1090.04
465004,"15-438881-00,Rev C",2171.26
466562,"15-438881-00,Rev C",2171.26
SCI467125,"0041-77451, Rev 05",1085.59
465370,"0051-35820, Rev 03",4318.82
ASM466315,"0041-25952, Rev 05",717.57
ASM463284,"0041-25952, Rev 05",717.57
ASM462936,"0041-25952, Rev 05",1076.35
ASM467343,"0041-25952, Rev 05",358.78
ASM454024,"0041-25952, Rev 05",458.02
MT-E467833,"0041-25952, Rev 05",717.57
ASM466316,"0041-25952, Rev 05",717.57
ASM466317,"0041-25952, Rev 05",717.57
ASM463527,"0041-25952, Rev 05",1076.35
ASM466320,"0041-25952, Rev 05",717.57
ASM466319,"0041-25952, Rev 05",358.78
ASM466391,"0041-25952, Rev 05",538.18
ASM464810,"0041-25952, Rev 05",538.18
ASM466321,"0041-25952, Rev 05",538.18
ASM464811,"0041-25952, Rev 05",538.18
ASM464812,"0041-25952, Rev 05",538.18
ASM467344,"0041-25952, Rev 05",538.18
ASM464813,"0041-25952, Rev 05",538.18
ASM466322,"0041-25952, Rev 05",538.18
ASM466323,"0041-25952, Rev 05",538.18
ASM466324,"0041-25952, Rev 05",538.18
ASM467345,"0041-25952, Rev 05",538.18
ASM467346,"0041-25952, Rev 05",538.18
SCI466866,"0021-53926, Rev 07",214.60
454553,PROCESS TANK COVER PVDF,535.38
SNF458150,"0041-25201, Rev 04",711.24
MT-465394,"0041-25201, Rev 04",1422.48
463121,"0041-25201, Rev 04",1333.58
ASM462234,"0041-25201, Rev 04",426.74
ASM462925,"0041-25201, Rev 04",2133.72
ASM463272,"0041-25201, Rev 04",2133.72
ASM466105,"0041-25201, Rev 04",426.74
ASM466106,"0041-25201, Rev 04",426.74
MT-ASM465680,"0041-25201, Rev 04",2133.72
ASM466107,"0041-25201, Rev 04",426.74
ASM466108,"0041-25201, Rev 04",304.82
ASM466769,"0041-25201, Rev 04",304.82
ASM467339,"0041-25201, Rev 04",1066.86
SCI465469,"0010-80128, Rev 02",615.00
SCI461887,"0010-80128, Rev 02",421.97
SCI465470,"0010-80128, Rev 02",421.97
SCI466848,"0010-80128, Rev 02",421.97
SCI466849,"0010-80128, Rev 02",421.97
SCI466850,"0010-80128, Rev 02",421.97
SCI466851,"0010-80128, Rev 02",421.97
CP467074,"0022-47978, Rev 06",347.72
SCI465526,"0022-29151, Rev 03",521.28
SCI468196,"0022-29151, Rev 03",521.28
468093,"2115-8021, Rev 5",2966.58
ASM466918,"0022-55447, Rev 01",1031.64
ASM468429,"0022-55447, Rev 01",1031.64
E468468,"CHP-IT-RR002, Rev 01",686.08
SCI465465,"0041-95919, Rev 02",2048.20
SCI466845,"0041-95919, Rev 02",1024.10
468171,"713-217004-010,Rev C",714.29
468176,"713-217004-010,Rev C",500.00
453064,"839-182696-002,Rev B",471.00
467535,"0042-35600, Rev 03 - Item 1",2021.10
ASM463222,"0041-55912, Rev 04",399.50
461088,"0041-55912, Rev 04",221.94
ASM462533,"0041-55912, Rev 04",998.74
ASM467690,"0041-55912, Rev 04",399.50
ASM467691,"0041-55912, Rev 04",399.50
ASM467080,"0041-55912, Rev 04",399.50
ASM467896,"0041-55912, Rev 04",399.50
SCI467182,"0041-39098, Rev 04",1330.01
465657,"0041-39098, Rev 04",665.01
SCI468210,"0041-39098, Rev 04",1330.01
468092,"2115-8068, Rev 3",166.09
SCI465471,"0041-98601, Rev 02",394.92
SCI466852,"0041-98601, Rev 02",197.46
SCI466853,"0041-98601, Rev 02",197.46
RPM468160,"713-330153-003,Rev C",986.35
RMA11996,"713-330153-003,Rev C",1793.36
MT-465290,"0041-86317, Rev 05",3902.03
RPM467953,"504-078740-100,Rev B",1385.00
457808,"15-431471-00, Rev C",1715.55
MT-ASM465158,"0042-35935, Rev 01",941.35
MT-ASM466883,"0042-35935, Rev 01",941.35
CP465743,"0041-34908, Rev 02",312.66
466556,"713-294453-001,Rev D",208.17
ASM465832,"0022-02822, Rev 06",622.44
467406,"0022-02822, Rev 06",1867.33
ASM462852,"0022-02822, Rev 06",186.73
ASM467644,"0022-02822, Rev 06",186.73
ASM467771,"0055-00680, Rev 02",31.08
ASM463406,"0055-00680, Rev 02",372.95
ASM467772,"0055-00680, Rev 02",18.65
ASM467773,"0055-00680, Rev 02",18.65
SCI461605,"0041-85128, Rev 04",1861.77
SCI465461,"0041-85128, Rev 04",1861.77
SCI466830,"0041-85128, Rev 04",1861.77
465183,"0041-92905, Rev 03",154.98
467242,"0041-92905, Rev 03",1162.38
ASM465207,"0022-04215, Rev 04",1827.86
ASM464351,"0010-35747, Rev 02",454.42
ASM465763,"0010-35747, Rev 02",181.77
ASM465764,"0010-35747, Rev 02",181.77
ASM465765,"0010-35747, Rev 02",181.77
ASM465767,"0010-35747, Rev 02",181.77
ASM465769,"0010-35747, Rev 02",181.77
ASM465157,"0042-35740, Rev 02",908.40
P452774,"0041-77714, Rev 02",1206.54
ASM466376,"0041-77714, Rev 02",1809.81
ASM463219,"0041-77714, Rev 02",323.18
ASM467083,"0041-77714, Rev 02",301.64
ASM467693,"0041-77714, Rev 02",301.64
ASM467694,"0041-77714, Rev 02",301.64
ASM467695,"0041-77714, Rev 02",301.64
ASM463238,"0021-82717, Rev 04",180.58
ASM465829,"0021-82717, Rev 04",361.17
ASM467640,"0021-82717, Rev 04",180.58
ASM467641,"0021-82717, Rev 04",150.49
ASM462874,"0021-82717, Rev 04",902.92
ASM467951,"0021-82717, Rev 04",902.92
465003,"15-431471-00,Rev D",1800.22
466572,"15-431471-00,Rev D",3600.44
ASM462844,"0041-81856, Rev 06",178.01
468023,"515-223825-007,Rev B",197.33
467076,"515-223825-007,Rev B",1480.00
CP465441,"0021-04297, Rev 03",176.55
CP468179,"0021-04297, Rev 03",176.55
CP462945,"0021-04297, Rev 03",144.71
ASM460099,"0022-60682, Rev 02",587.34
SCI466816,"0041-77571, Rev 05",880.60
466513,"04-436098-00,Rev B",1175.00
SCI465525,"0022-29150, Rev 03",1754.20
SCI467160,"0022-29150, Rev 03",1754.20
466514,"15-431468-00,Rev E",724.21
SCI468352,"0022-20200, Rev 05",115.64
467769,"0022-20200, Rev 05",96.36
SCI467193,"0041-91826, Rev 02",1722.09
463562,"0042-27586, Rev 03",1909.08
466553,"0022-10940, Rev 02",4292.68
SCI466841,"0041-95928, Rev 02",856.82
466555,"713-089043-083,Rev B",1197.00
464021,"0042-01927, Rev 03",2349.00
467235,"0042-01927, Rev 03",2349.00
ASM465838,"0022-10221, Rev 02",3390.03
ASM463788,"0022-10221, Rev 02",169.50
468007,"713-102458-009,Rev E",3861.15
464639,"713-083734-001,Rev C",555.06
468173,"713-083734-001,Rev C",693.83
MT-RPM467424,"524-A14746-002,Rev A",2697.00
MT-466458,"0270-11799, Rev 04 (Item 2)",552.80
MT-466208,"0270-11799, Rev 04 (Item 2)",552.80
MT-468082,"0270-11799, Rev 04 (Item 2)",552.80
ASM463655,"0041-63495, Rev 03",827.06
ASM467496,"0041-63495, Rev 03",330.82
ASM467015,"0041-63495, Rev 03",827.06
ASM462881,"0041-63495, Rev 03",827.06
ASM462736,"0022-21930, Rev 02",822.50
SCI466825,"0041-85125, Rev 04",821.72
465494,"0022-60691, Rev 01",181.68
ASM463446,"0041-55752, Rev 07",807.71
ASM467689,"0041-55752, Rev 07",323.08
ASM466373,"0041-55752, Rev 07",538.47
ASM463557,"0021-61674, Rev 03",803.80
ASM461540,"0021-61674, Rev 03",643.04
466626,"0021-61674, Rev 03",321.52
ASM462227,"0021-61674, Rev 03",160.76
ASM463310,"0021-61674, Rev 03",535.87
ASM464126,"0021-61674, Rev 03",223.28
ASM464140,"0021-61674, Rev 03",223.28
ASM464141,"0021-61674, Rev 03",223.28
ASM464142,"0021-61674, Rev 03",223.28
ASM464143,"0021-61674, Rev 03",223.28
ASM464144,"0021-61674, Rev 03",223.28
ASM464145,"0021-61674, Rev 03",223.28
ASM466946,"0021-61674, Rev 03",200.95
ASM466945,"0021-61674, Rev 03",223.28
ASM466947,"0021-61674, Rev 03",277.17
ASM464146,"0021-61674, Rev 03",2009.50
ASM463662,"0022-10220, Rev 02",802.35
ASM467579,"0022-10220, Rev 02",160.47
ASM464955,"0022-10220, Rev 02",802.35
ASM463550,"0010-29244, Rev 06",320.58
ASM465961,"0010-29244, Rev 06",123.30
ASM462047,"0010-29244, Rev 06",801.45
ASM462213,"0010-29244, Rev 06",160.29
ASM462214,"0010-29244, Rev 06",320.58
ASM464080,"0010-29244, Rev 06",123.30
ASM465962,"0010-29244, Rev 06",123.30
ASM465293,"0010-29244, Rev 06",123.30
ASM465963,"0010-29244, Rev 06",123.30
ASM467001,"0010-29244, Rev 06",320.58
ASM464081,"0010-29244, Rev 06",123.30
ASM464085,"0010-29244, Rev 06",123.30
ASM464082,"0010-29244, Rev 06",123.30
ASM464083,"0010-29244, Rev 06",123.30
